COVERAGE,YEAR,MONTH,DATE,PRODUCT_GROUP,PRODUCT,MEASUREMENT_UNIT,VOLUME,VALUE,INDEX,STATUS
National,2001,July,01/07/2001,Non-Metallic Minerals,Fluorite,Tons,61633,63087.083,69.928,Final Figures.
National,2001,July,01/07/2001,Non-Metallic Minerals,Kaolin,Tons,7812,5320.397,110.168,Final Figures.
National,2001,July,01/07/2001,Non-Metallic Minerals,Silica Sand,Tons,116481,23395.145,50.296,Final Figures.
National,2001,July,01/07/2001,Non-Metallic Minerals,Gypsum,Tons,315211,36758.245,73.66,Final Figures.
National,2001,July,01/07/2001,Non-Metallic Minerals,Phosphate Rock,Tons,85125,29625.922,105.408,Final Figures.
National,2001,July,01/07/2001,Non-Metallic Minerals,Wollastonite,Tons,4943,9644.465,126.625,Final Figures.
National,2001,July,01/07/2001,Non-Metallic Minerals,Celestite,Tons,13251,6955.98,536.822,Final Figures.
National,2001,July,01/07/2001,Non-Metallic Minerals,Feldspar,Tons,26082,11062.5,70.252,Final Figures.
National,2001,July,01/07/2001,Non-Metallic Minerals,Salt,Tons,704876,78939.063,96.024,Final Figures.
National,2001,July,01/07/2001,Non-Metallic Minerals,Diatomite,Tons,4546,8118.247,42.441,Final Figures.
National,2001,July,01/07/2001,Non-Metallic Minerals,Sodium Sulfate,Tons,45000,34578,87.379,Final Figures.
National,2001,July,01/07/2001,Non-Metallic Minerals,Magnesium Sulfate,Tons,2022,1752.692,56.358,Final Figures.
National,2001,August,01/08/2001,Precious Metals,Gold,Kilograms,1177,94890.62,28.043,Final Figures.
National,2001,August,01/08/2001,Precious Metals,Silver,Kilograms,215868,266144.095,97.091,Final Figures.
National,2001,August,01/08/2001,Non-Ferrous Industrial Metals,Lead,Tons,10756,47415.782,128.143,Final Figures.
National,2001,August,01/08/2001,Non-Ferrous Industrial Metals,Copper,Tons,27523,396339.515,122.953,Final Figures.
National,2001,August,01/08/2001,Non-Ferrous Industrial Metals,Zinc,Tons,38345,318776.708,115.815,Final Figures.
